Day,Total,1,2,3,4,5,6,2P
01/05/2015,1,0,0,0,0,0,0,1
02/05/2015,2,0,0,0,0,0,0,2
03/05/2015,2,0,0,0,0,0,0,2
04/05/2015,4,0,0,0,0,0,0,4
05/05/2015,3,0,0,0,1,0,0,2
06/05/2015,1,0,0,0,0,0,0,1
07/05/2015,1,0,0,0,0,0,0,1
08/05/2015,3,0,0,0,0,0,0,3
10/05/2015,3,0,0,0,0,0,0,3
11/05/2015,3,0,0,0,0,0,0,3
12/05/2015,2,0,0,0,0,0,0,2
13/05/2015,1,0,0,0,0,0,0,1
14/05/2015,1,0,0,0,0,0,0,1
15/05/2015,3,0,0,0,0,0,0,3
16/05/2015,1,0,0,0,0,0,0,1
18/05/2015,1,0,0,0,0,0,0,1
20/05/2015,1,0,0,0,0,0,0,1
21/05/2015,1,0,0,0,1,0,0,0
22/05/2015,1,0,0,0,0,0,0,1
23/05/2015,1,0,0,0,0,0,0,1
24/05/2015,1,0,0,0,0,0,0,1
25/05/2015,4,0,0,0,0,0,0,4
27/05/2015,1,0,0,0,0,0,0,1
28/05/2015,2,0,0,0,0,0,0,2
29/05/2015,2,0,0,0,0,0,0,2
30/05/2015,2,0,0,0,0,0,0,2
31/05/2015,2,0,0,0,0,0,0,2
01/06/2015,2,0,0,0,0,0,0,2
02/06/2015,4,0,0,0,1,0,0,3
03/06/2015,1,0,0,0,0,0,0,1
04/06/2015,2,0,0,0,0,0,0,2
05/06/2015,3,0,0,0,0,0,0,3
06/06/2015,3,0,0,0,0,0,0,3
07/06/2015,2,0,0,0,0,0,0,2
09/06/2015,1,0,0,0,0,0,0,1
10/06/2015,3,0,0,0,0,0,0,3
11/06/2015,1,0,0,0,0,0,0,1
12/06/2015,2,0,0,0,0,0,0,2
13/06/2015,1,0,0,0,0,0,0,1
14/06/2015,2,0,0,0,0,0,0,2
15/06/2015,2,0,0,0,0,0,0,2
16/06/2015,3,0,0,0,1,0,0,2
18/06/2015,1,0,0,0,0,0,0,1
19/06/2015,2,0,0,0,0,0,0,2
20/06/2015,2,0,0,0,0,0,0,2
23/06/2015,2,0,0,0,0,0,0,2
25/06/2015,4,0,0,0,1,0,0,3
26/06/2015,1,0,0,0,0,0,0,1
27/06/2015,3,0,0,0,0,0,0,3
28/06/2015,3,0,0,0,0,0,0,3
29/06/2015,1,0,0,0,0,0,0,1
30/06/2015,2,0,0,0,0,0,0,2
02/07/2015,1,0,0,0,0,0,0,1
03/07/2015,2,0,0,0,0,0,0,2
04/07/2015,2,0,0,0,0,0,0,2
05/07/2015,1,0,0,0,0,0,0,1
07/07/2015,2,0,0,0,1,0,0,1
08/07/2015,2,0,0,0,0,0,0,2
11/07/2015,4,0,0,0,0,0,0,4
13/07/2015,1,0,0,0,0,0,0,1
14/07/2015,2,0,0,0,1,0,0,1
15/07/2015,1,0,0,0,0,0,0,1
17/07/2015,3,0,0,0,0,0,0,3
18/07/2015,1,0,0,0,0,0,0,1
19/07/2015,2,0,0,0,0,0,0,2
20/07/2015,2,0,0,0,0,0,0,2
21/07/2015,2,0,0,0,0,0,0,2
22/07/2015,2,0,0,0,0,0,0,2
23/07/2015,1,0,0,0,1,0,0,0
24/07/2015,2,0,0,0,0,0,0,2
25/07/2015,1,0,0,0,0,0,0,1
26/07/2015,2,0,0,0,0,0,0,2
27/07/2015,2,0,0,0,0,0,0,2
28/07/2015,1,0,0,0,0,0,0,1
30/07/2015,1,0,0,0,0,0,0,1
31/07/2015,1,0,0,0,0,0,0,1
01/08/2015,2,0,0,0,0,0,0,2
02/08/2015,1,0,0,0,0,0,0,1
03/08/2015,1,0,0,0,0,0,0,1
04/08/2015,2,0,0,0,1,0,0,1
06/08/2015,2,0,0,0,0,0,0,2
07/08/2015,1,0,0,0,0,0,0,1
08/08/2015,2,0,0,0,0,0,0,2
09/08/2015,2,0,0,0,0,0,0,2
10/08/2015,1,0,0,0,0,0,0,1
11/08/2015,3,0,0,0,0,0,0,3
12/08/2015,2,0,0,0,0,0,0,2
13/08/2015,1,0,0,0,0,0,0,1
14/08/2015,1,0,0,0,0,0,0,1
15/08/2015,2,0,0,0,0,0,0,2
16/08/2015,2,0,0,0,0,0,0,2
17/08/2015,3,0,0,0,0,0,0,3
18/08/2015,1,0,0,0,0,0,0,1
19/08/2015,1,0,0,0,0,0,0,1
20/08/2015,3,0,0,0,1,0,0,2
22/08/2015,3,0,0,0,0,0,0,3
24/08/2015,1,0,0,0,0,0,0,1
25/08/2015,1,0,0,0,0,0,0,1
26/08/2015,4,0,0,0,0,0,0,4
27/08/2015,1,0,0,0,0,0,0,1
30/08/2015,2,0,0,0,0,0,0,2
31/08/2015,3,0,0,0,0,0,0,3
01/09/2015,3,0,0,0,1,0,0,2
02/09/2015,2,0,0,0,0,0,0,2
03/09/2015,2,0,0,0,0,0,0,2
04/09/2015,1,0,0,0,0,0,0,1
05/09/2015,2,0,0,0,0,0,0,2
06/09/2015,3,0,0,0,0,0,0,3
07/09/2015,3,0,0,0,0,0,0,3
08/09/2015,1,0,0,0,0,0,0,1
09/09/2015,2,0,0,0,0,0,0,2
10/09/2015,1,0,0,0,0,0,0,1
11/09/2015,1,0,0,0,0,0,0,1
12/09/2015,1,0,0,0,0,0,0,1
13/09/2015,2,0,0,0,0,0,0,2
14/09/2015,1,0,0,0,0,0,0,1
15/09/2015,1,0,0,0,1,0,0,0
16/09/2015,1,0,0,0,0,0,0,1
17/09/2015,1,0,0,0,0,0,0,1
18/09/2015,2,0,0,0,0,0,0,2
19/09/2015,1,0,0,0,0,0,0,1
20/09/2015,3,0,0,0,0,0,0,3
22/09/2015,1,0,0,0,0,0,0,1
25/09/2015,2,0,0,0,0,0,0,2
27/09/2015,1,0,0,0,0,0,0,1
28/09/2015,4,0,0,0,0,0,0,4
30/09/2015,3,0,0,0,0,0,0,3
01/10/2015,3,0,0,0,1,0,0,2
03/10/2015,1,0,0,0,0,0,0,1
04/10/2015,2,0,0,0,0,0,0,2
05/10/2015,1,0,0,0,0,0,0,1
06/10/2015,1,0,0,0,0,0,0,1
07/10/2015,1,0,0,0,0,0,0,1
08/10/2015,2,0,0,0,0,0,0,2
09/10/2015,1,0,0,0,0,0,0,1
12/10/2015,3,0,0,0,0,0,0,3
13/10/2015,3,0,0,0,0,0,0,3
14/10/2015,2,0,0,0,0,0,0,2
15/10/2015,3,0,0,0,0,0,0,3
16/10/2015,1,0,0,0,0,0,0,1
17/10/2015,4,0,0,0,0,0,0,4
18/10/2015,3,0,0,0,0,0,0,3
19/10/2015,1,0,0,0,0,0,0,1
20/10/2015,4,0,0,0,1,0,0,3
21/10/2015,2,0,0,0,0,0,0,2
22/10/2015,4,0,0,0,0,0,0,4
23/10/2015,2,0,0,0,0,0,0,2
25/10/2015,1,0,0,0,0,0,0,1
26/10/2015,1,0,0,0,0,0,0,1
27/10/2015,2,0,0,0,0,0,0,2
28/10/2015,2,0,0,0,0,0,0,2
31/10/2015,4,0,0,0,0,0,0,4
01/11/2015,1,0,0,0,0,0,0,1
03/11/2015,1,0,0,0,0,0,0,1
05/11/2015,2,0,0,0,0,0,0,2
06/11/2015,2,0,0,0,0,0,0,2
07/11/2015,1,0,0,0,0,0,0,1
08/11/2015,2,0,0,0,0,0,0,2
09/11/2015,1,0,0,0,0,0,0,1
10/11/2015,2,0,0,0,0,0,0,2
11/11/2015,2,0,0,0,0,0,0,2
12/11/2015,1,0,0,0,1,0,0,0
13/11/2015,2,0,0,0,0,0,0,2
14/11/2015,2,0,0,0,0,0,0,2
15/11/2015,3,0,0,0,0,0,0,3
16/11/2015,3,0,0,0,0,0,0,3
17/11/2015,3,0,0,0,0,0,0,3
18/11/2015,1,0,0,0,0,0,0,1
19/11/2015,1,0,0,0,0,0,0,1
20/11/2015,1,0,0,0,0,0,0,1
21/11/2015,3,0,0,0,0,0,0,3
22/11/2015,1,0,0,0,0,0,0,1
23/11/2015,1,0,0,0,0,0,0,1
24/11/2015,1,0,0,0,0,0,0,1
25/11/2015,2,0,0,0,0,0,0,2
26/11/2015,3,0,0,0,0,0,0,3
27/11/2015,1,0,0,0,0,0,0,1
28/11/2015,2,0,0,0,0,0,0,2
29/11/2015,3,0,0,0,0,0,0,3
30/11/2015,1,0,0,0,0,0,0,1
01/12/2015,2,0,0,0,1,0,0,1
02/12/2015,1,0,0,0,0,0,0,1
03/12/2015,3,0,0,0,0,0,0,3
04/12/2015,1,0,0,0,0,0,0,1
05/12/2015,1,0,0,0,0,0,0,1
06/12/2015,1,0,0,0,0,0,0,1
07/12/2015,1,0,0,0,0,0,0,1
08/12/2015,1,0,0,0,0,0,0,1
09/12/2015,1,0,0,0,0,0,0,1
10/12/2015,3,0,0,0,0,0,0,3
11/12/2015,2,0,0,0,0,0,0,2
12/12/2015,1,0,0,0,0,0,0,1
13/12/2015,4,0,0,0,0,0,0,4
14/12/2015,2,0,0,0,0,0,0,2
16/12/2015,2,0,0,0,0,0,0,2
17/12/2015,2,0,0,0,0,0,0,2
18/12/2015,2,0,0,0,0,0,0,2
19/12/2015,1,0,0,0,0,0,0,1
20/12/2015,3,0,0,0,0,0,0,3
21/12/2015,1,0,0,0,0,0,0,1
22/12/2015,1,0,0,0,0,0,0,1
24/12/2015,1,0,0,0,1,0,0,0
25/12/2015,3,0,0,0,0,0,0,3
26/12/2015,3,0,0,0,0,0,0,3
27/12/2015,2,0,0,0,0,0,0,2
28/12/2015,1,0,0,0,0,0,0,1
30/12/2015,1,0,0,0,0,0,0,1
31/12/2015,2,0,0,0,0,0,0,2
01/01/2016,2,0,0,0,0,0,0,2
02/01/2016,1,0,0,0,0,0,0,1
03/01/2016,3,0,0,0,0,0,0,3
04/01/2016,1,0,0,0,0,0,0,1
05/01/2016,1,0,0,0,0,0,0,1
06/01/2016,1,0,0,0,0,0,0,1
07/01/2016,3,0,0,0,0,0,0,3
08/01/2016,2,0,0,0,0,0,0,2
09/01/2016,2,0,0,0,0,0,0,2
10/01/2016,1,0,0,0,0,0,0,1
12/01/2016,1,0,0,0,0,0,0,1
13/01/2016,3,0,0,0,0,0,0,3
14/01/2016,3,0,0,0,0,0,0,3
15/01/2016,3,0,0,0,0,0,0,3
16/01/2016,1,0,0,0,0,0,0,1
17/01/2016,2,0,0,0,0,0,0,2
19/01/2016,4,0,0,0,1,0,0,3
20/01/2016,1,0,0,0,0,0,0,1
21/01/2016,2,0,0,0,0,0,0,2
22/01/2016,2,0,0,0,0,0,0,2
23/01/2016,1,0,0,0,0,0,0,1
24/01/2016,3,0,0,0,0,0,0,3
25/01/2016,3,0,0,0,0,0,0,3
26/01/2016,1,0,0,0,0,0,0,1
27/01/2016,2,0,0,0,0,0,0,2
28/01/2016,3,0,0,0,0,0,0,3
30/01/2016,2,0,0,0,0,0,0,2
31/01/2016,2,0,0,0,0,0,0,2
02/02/2016,1,0,0,0,0,0,0,1
03/02/2016,2,0,0,0,0,0,0,2
04/02/2016,2,0,0,0,0,0,0,2
05/02/2016,1,0,0,0,0,0,0,1
06/02/2016,2,0,0,0,0,0,0,2
08/02/2016,1,0,0,0,0,0,0,1
09/02/2016,1,0,0,0,0,0,0,1
11/02/2016,2,0,0,0,0,0,0,2
13/02/2016,2,0,0,0,0,0,0,2
14/02/2016,3,0,0,0,0,0,0,3
15/02/2016,2,0,0,0,0,0,0,2
16/02/2016,3,0,0,0,1,0,0,2
17/02/2016,2,0,0,0,0,0,0,2
19/02/2016,1,0,0,0,0,0,0,1
20/02/2016,3,0,0,0,0,0,0,3
22/02/2016,3,0,0,0,0,0,0,3
23/02/2016,1,0,0,0,0,0,0,1
24/02/2016,1,0,0,0,0,0,0,1
25/02/2016,3,0,0,0,0,0,0,3
26/02/2016,1,0,0,0,0,0,0,1
27/02/2016,1,0,0,0,0,0,0,1
28/02/2016,2,0,0,0,0,0,0,2
29/02/2016,1,0,0,0,0,0,0,1
01/03/2016,3,0,0,0,1,0,0,2
04/03/2016,3,0,0,0,0,0,0,3
05/03/2016,1,0,0,0,0,0,0,1
06/03/2016,1,0,0,0,0,0,0,1
07/03/2016,1,0,0,0,0,0,0,1
08/03/2016,3,0,0,0,0,0,0,3
09/03/2016,1,0,0,0,0,0,0,1
10/03/2016,2,0,0,0,0,0,0,2
12/03/2016,1,0,0,0,0,0,0,1
13/03/2016,2,0,0,0,0,0,0,2
15/03/2016,2,0,0,0,0,0,0,2
16/03/2016,1,0,0,0,0,0,0,1
18/03/2016,3,0,0,0,0,0,0,3
19/03/2016,2,0,0,0,0,0,0,2
20/03/2016,1,0,0,0,0,0,0,1
21/03/2016,3,0,0,0,0,0,0,3
