Day,Total,1,2,3,4,5,6,2P
01/05/2015,17,7,4,3,2,0,0,1
02/05/2015,19,6,5,6,0,1,0,1
03/05/2015,17,8,3,4,1,0,0,1
04/05/2015,17,5,4,4,2,0,1,1
05/05/2015,12,7,3,2,0,0,0,0
06/05/2015,18,7,7,2,1,1,0,0
07/05/2015,15,5,5,1,2,0,1,1
08/05/2015,20,11,6,3,0,0,0,0
09/05/2015,23,10,7,2,1,2,0,1
10/05/2015,16,4,5,2,1,2,0,2
11/05/2015,21,7,4,6,2,1,0,1
12/05/2015,18,6,4,4,1,0,1,2
13/05/2015,14,7,3,2,1,1,0,0
14/05/2015,23,12,5,2,1,2,0,1
15/05/2015,23,5,10,4,2,0,0,2
16/05/2015,16,5,5,2,1,0,1,2
17/05/2015,26,6,10,3,4,1,0,2
18/05/2015,16,4,8,3,0,1,0,0
19/05/2015,20,5,9,4,1,0,0,1
20/05/2015,17,10,4,1,0,0,1,1
21/05/2015,15,7,4,1,0,0,1,2
22/05/2015,15,8,5,2,0,0,0,0
23/05/2015,22,8,7,6,0,0,0,1
24/05/2015,17,9,3,2,1,0,0,2
25/05/2015,22,7,6,4,2,1,0,2
26/05/2015,11,7,2,1,1,0,0,0
27/05/2015,15,8,3,3,0,0,0,1
28/05/2015,15,5,3,3,2,0,1,1
29/05/2015,19,4,7,5,3,0,0,0
30/05/2015,25,7,6,7,3,2,0,0
31/05/2015,17,8,4,1,0,2,1,1
01/06/2015,36,10,15,6,2,2,0,1
02/06/2015,37,13,13,9,1,1,0,0
03/06/2015,43,22,11,6,0,3,0,1
04/06/2015,41,17,13,6,3,1,1,0
05/06/2015,46,16,13,10,1,0,3,3
06/06/2015,51,20,22,7,0,1,1,0
07/06/2015,53,28,15,7,2,1,0,0
08/06/2015,49,28,8,9,1,1,2,0
09/06/2015,40,13,18,5,2,1,0,1
10/06/2015,60,27,18,10,2,0,1,2
11/06/2015,42,25,7,8,0,1,0,1
12/06/2015,53,20,18,11,0,1,1,2
13/06/2015,53,29,12,9,0,2,1,0
14/06/2015,60,27,18,12,1,0,2,0
15/06/2015,51,31,10,8,1,0,0,1
16/06/2015,52,25,11,11,0,3,0,2
17/06/2015,43,22,12,8,1,0,0,0
18/06/2015,47,17,17,11,0,1,1,0
19/06/2015,52,27,8,12,1,2,1,1
20/06/2015,72,33,24,10,1,0,3,1
21/06/2015,70,32,25,9,1,0,1,2
22/06/2015,57,26,20,7,3,1,0,0
23/06/2015,69,32,21,13,2,1,0,0
24/06/2015,71,31,24,14,1,1,0,0
25/06/2015,59,29,19,9,1,0,0,1
26/06/2015,70,31,21,15,2,0,0,1
27/06/2015,63,38,12,7,2,1,3,0
28/06/2015,57,22,19,11,2,0,1,2
29/06/2015,69,33,20,13,2,0,1,0
30/06/2015,57,31,17,8,0,0,0,1
01/07/2015,88,40,29,13,4,1,0,1
02/07/2015,73,39,21,11,1,1,0,0
03/07/2015,115,58,34,19,2,1,1,0
04/07/2015,118,55,41,19,0,1,0,2
05/07/2015,107,51,32,22,1,0,0,1
06/07/2015,80,33,32,13,1,1,0,0
07/07/2015,79,37,23,14,2,2,1,0
08/07/2015,80,32,24,22,1,1,0,0
09/07/2015,71,34,16,17,2,1,1,0
10/07/2015,87,30,37,15,2,2,1,0
11/07/2015,113,58,32,16,2,4,0,1
