Day,Total,1,2,3,4,5,6,2P
02/05/2015,1,0,0,0,0,0,0,1
04/05/2015,1,0,0,0,0,0,0,1
06/05/2015,1,0,0,0,0,0,0,1
07/05/2015,1,0,0,0,0,0,0,1
08/05/2015,1,0,0,0,0,0,0,1
09/05/2015,1,0,0,0,0,0,0,1
10/05/2015,2,0,0,0,0,0,0,2
12/05/2015,2,0,0,0,0,0,0,2
13/05/2015,1,0,0,0,0,0,0,1
15/05/2015,3,0,0,0,0,0,0,3
19/05/2015,1,0,0,0,0,0,0,1
20/05/2015,1,0,0,0,0,0,0,1
21/05/2015,1,0,0,0,0,0,0,1
22/05/2015,1,0,0,0,0,0,0,1
23/05/2015,1,0,0,0,0,0,0,1
25/05/2015,2,0,0,0,0,0,0,2
26/05/2015,2,0,0,0,0,0,0,2
31/05/2015,1,0,0,0,0,0,0,1
01/06/2015,1,0,0,0,0,0,0,1
05/06/2015,3,0,0,0,0,0,0,3
08/06/2015,2,0,0,0,0,0,0,2
09/06/2015,1,0,0,0,0,0,0,1
10/06/2015,2,0,0,0,0,0,0,2
11/06/2015,1,0,0,0,0,0,0,1
12/06/2015,1,0,0,0,0,0,0,1
15/06/2015,2,0,0,0,0,0,0,2
16/06/2015,1,0,0,0,0,0,0,1
20/06/2015,1,0,0,0,0,0,0,1
24/06/2015,1,0,0,0,0,0,0,1
25/06/2015,1,0,0,0,0,0,0,1
26/06/2015,1,0,0,0,0,0,0,1
28/06/2015,1,0,0,0,0,0,0,1
30/06/2015,1,0,0,0,0,0,0,1
01/07/2015,1,0,0,0,0,0,0,1
02/07/2015,1,0,0,0,0,0,0,1
04/07/2015,2,0,0,0,0,0,0,2
06/07/2015,1,0,0,0,0,0,0,1
10/07/2015,7,6,0,0,0,0,0,1
11/07/2015,1,0,0,0,0,0,0,1
16/07/2015,1,0,0,0,0,0,0,1
21/07/2015,1,0,0,0,0,0,0,1
22/07/2015,1,0,0,0,0,0,0,1
25/07/2015,1,0,0,0,0,0,0,1
26/07/2015,2,0,0,0,0,0,0,2
27/07/2015,1,0,0,0,0,0,0,1
07/08/2015,1,0,0,0,0,0,0,1
08/08/2015,1,0,0,0,0,0,0,1
10/08/2015,1,0,0,0,0,0,0,1
11/08/2015,2,0,0,0,0,0,0,2
12/08/2015,1,0,0,0,0,0,0,1
13/08/2015,1,0,0,0,0,0,0,1
17/08/2015,1,0,0,0,0,0,0,1
21/08/2015,2,0,0,0,0,0,0,2
22/08/2015,1,0,0,0,0,0,0,1
25/08/2015,2,0,0,0,0,0,0,2
26/08/2015,1,0,0,0,0,0,0,1
29/08/2015,1,0,0,0,0,0,0,1
31/08/2015,1,0,0,0,0,0,0,1
02/09/2015,2,0,0,0,0,0,0,2
04/09/2015,2,0,0,0,0,0,0,2
05/09/2015,1,0,0,0,0,0,0,1
06/09/2015,1,0,0,0,0,0,0,1
07/09/2015,1,0,0,0,0,0,0,1
09/09/2015,1,0,0,0,0,0,0,1
11/09/2015,1,0,0,0,0,0,0,1
14/09/2015,1,0,0,0,0,0,0,1
17/09/2015,1,0,0,0,0,0,0,1
20/09/2015,2,0,0,0,0,0,0,2
23/09/2015,1,0,0,0,0,0,0,1
25/09/2015,1,0,0,0,0,0,0,1
27/09/2015,1,0,0,0,0,0,0,1
28/09/2015,1,0,0,0,0,0,0,1
05/10/2015,1,0,0,0,0,0,0,1
08/10/2015,1,0,0,0,0,0,0,1
12/10/2015,1,0,0,0,0,0,0,1
13/10/2015,1,0,0,0,0,0,0,1
14/10/2015,2,0,0,0,0,0,0,2
15/10/2015,1,0,0,0,0,0,0,1
17/10/2015,2,0,0,0,0,0,0,2
18/10/2015,1,0,0,0,0,0,0,1
23/10/2015,1,0,0,0,0,0,0,1
24/10/2015,1,0,0,0,0,0,0,1
26/10/2015,1,0,0,0,0,0,0,1
31/10/2015,2,0,0,0,0,0,0,2
01/11/2015,1,0,0,0,0,0,0,1
06/11/2015,1,0,0,0,0,0,0,1
09/11/2015,1,0,0,0,0,0,0,1
10/11/2015,1,0,0,0,0,0,0,1
11/11/2015,2,0,0,0,0,0,0,2
13/11/2015,1,0,0,0,0,0,0,1
14/11/2015,1,0,0,0,0,0,0,1
15/11/2015,1,0,0,0,0,0,0,1
16/11/2015,1,0,0,0,0,0,0,1
17/11/2015,1,0,0,0,0,0,0,1
19/11/2015,2,0,0,0,0,0,0,2
23/11/2015,2,0,0,0,0,0,0,2
24/11/2015,1,0,0,0,0,0,0,1
29/11/2015,2,0,0,0,0,0,0,2
30/11/2015,1,0,0,0,0,0,0,1
02/12/2015,1,0,0,0,0,0,0,1
03/12/2015,2,0,0,0,0,0,0,2
06/12/2015,1,0,0,0,0,0,0,1
07/12/2015,1,0,0,0,0,0,0,1
10/12/2015,2,0,0,0,0,0,0,2
13/12/2015,1,0,0,0,0,0,0,1
16/12/2015,2,0,0,0,0,0,0,2
18/12/2015,1,0,0,0,0,0,0,1
24/12/2015,1,0,0,0,0,0,0,1
25/12/2015,1,0,0,0,0,0,0,1
26/12/2015,1,0,0,0,0,0,0,1
29/12/2015,1,0,0,0,0,0,0,1
30/12/2015,1,0,0,0,0,0,0,1
04/01/2016,2,0,0,0,0,0,0,2
06/01/2016,1,0,0,0,0,0,0,1
07/01/2016,2,0,0,0,0,0,0,2
09/01/2016,2,0,0,0,0,0,0,2
12/01/2016,1,0,0,0,0,0,0,1
13/01/2016,1,0,0,0,0,0,0,1
14/01/2016,1,0,0,0,0,0,0,1
15/01/2016,1,0,0,0,0,0,0,1
16/01/2016,2,0,0,0,0,0,0,2
17/01/2016,1,0,0,0,0,0,0,1
19/01/2016,1,0,0,0,0,0,0,1
21/01/2016,2,0,0,0,0,0,0,2
24/01/2016,1,0,0,0,0,0,0,1
27/01/2016,2,0,0,0,0,0,0,2
28/01/2016,1,0,0,0,0,0,0,1
29/01/2016,1,0,0,0,0,0,0,1
03/02/2016,1,0,0,0,0,0,0,1
05/02/2016,1,0,0,0,0,0,0,1
06/02/2016,1,0,0,0,0,0,0,1
13/02/2016,1,0,0,0,0,0,0,1
14/02/2016,1,0,0,0,0,0,0,1
15/02/2016,1,0,0,0,0,0,0,1
17/02/2016,1,0,0,0,0,0,0,1
18/02/2016,1,0,0,0,0,0,0,1
21/02/2016,1,0,0,0,0,0,0,1
22/02/2016,1,0,0,0,0,0,0,1
26/02/2016,1,0,0,0,0,0,0,1
27/02/2016,1,0,0,0,0,0,0,1
28/02/2016,1,0,0,0,0,0,0,1
01/03/2016,1,0,0,0,0,0,0,1
04/03/2016,1,0,0,0,0,0,0,1
05/03/2016,1,0,0,0,0,0,0,1
06/03/2016,1,0,0,0,0,0,0,1
07/03/2016,1,0,0,0,0,0,0,1
08/03/2016,1,0,0,0,0,0,0,1
09/03/2016,1,0,0,0,0,0,0,1
11/03/2016,1,0,0,0,0,0,0,1
12/03/2016,1,0,0,0,0,0,0,1
13/03/2016,1,0,0,0,0,0,0,1
15/03/2016,1,0,0,0,0,0,0,1
18/03/2016,1,0,0,0,0,0,0,1
24/03/2016,1,0,0,0,0,0,0,1
26/03/2016,1,0,0,0,0,0,0,1
28/03/2016,1,0,0,0,0,0,0,1
30/03/2016,1,0,0,0,0,0,0,1
04/04/2016,1,0,0,0,0,0,0,1
05/04/2016,1,0,0,0,0,0,0,1
06/04/2016,1,0,0,0,0,0,0,1
08/04/2016,1,0,0,0,0,0,0,1
11/04/2016,1,0,0,0,0,0,0,1
12/04/2016,1,0,0,0,0,0,0,1
14/04/2016,1,0,0,0,0,0,0,1
15/04/2016,2,0,0,0,0,0,0,2
16/04/2016,1,0,0,0,0,0,0,1
23/04/2016,1,0,0,0,0,0,0,1
24/04/2016,2,0,0,0,0,0,0,2
01/05/2016,1,0,0,0,0,0,0,1
02/05/2016,1,0,0,0,0,0,0,1
05/05/2016,1,0,0,0,0,0,0,1
06/05/2016,1,0,0,0,0,0,0,1
09/05/2016,1,0,0,0,0,0,0,1
12/05/2016,1,0,0,0,0,0,0,1
13/05/2016,2,0,0,0,0,0,0,2
18/05/2016,1,0,0,0,0,0,0,1
19/05/2016,3,0,0,0,0,0,0,3
20/05/2016,1,0,0,0,0,0,0,1
25/05/2016,1,0,0,0,0,0,0,1
29/05/2016,1,0,0,0,0,0,0,1
30/05/2016,1,0,0,0,0,0,0,1
