Day,Total,1,2,3,4,5,6,2P
14/05/2015,1,0,0,0,0,0,0,1
17/05/2015,1,0,0,0,0,0,0,1
19/05/2015,1,0,0,0,0,0,0,1
21/05/2015,1,0,0,0,0,0,0,1
22/05/2015,1,0,0,0,0,0,0,1
25/05/2015,1,0,0,0,0,0,0,1
26/05/2015,1,0,0,0,0,0,0,1
28/05/2015,1,0,0,0,0,0,0,1
29/05/2015,1,0,0,0,0,0,0,1
30/05/2015,1,0,0,0,0,0,0,1
31/05/2015,1,0,0,0,0,0,0,1
08/06/2015,1,0,0,0,0,0,0,1
13/06/2015,1,0,0,0,0,0,0,1
15/06/2015,1,0,0,0,0,0,0,1
23/06/2015,2,0,0,0,0,0,0,2
06/07/2015,1,0,0,0,0,0,0,1
10/07/2015,1,0,0,0,0,0,0,1
19/07/2015,1,0,0,0,0,0,0,1
22/07/2015,1,0,0,0,0,0,0,1
26/07/2015,1,0,0,0,0,0,0,1
04/08/2015,1,0,0,0,0,0,0,1
07/08/2015,1,0,0,0,0,0,0,1
17/08/2015,1,0,0,0,0,0,0,1
21/08/2015,1,0,0,0,0,0,0,1
24/08/2015,1,0,0,0,0,0,0,1
29/08/2015,1,0,0,0,0,0,0,1
04/09/2015,1,0,0,0,0,0,0,1
05/09/2015,1,0,0,0,0,0,0,1
13/09/2015,1,0,0,0,0,0,0,1
13/10/2015,1,0,0,0,0,0,0,1
19/10/2015,1,0,0,0,0,0,0,1
24/10/2015,1,0,0,0,0,0,0,1
28/10/2015,1,0,0,0,0,0,0,1
01/11/2015,1,0,0,0,0,0,0,1
02/11/2015,1,0,0,0,0,0,0,1
05/11/2015,1,0,0,0,0,0,0,1
16/11/2015,2,0,0,0,0,0,0,2
21/11/2015,1,0,0,0,0,0,0,1
22/11/2015,1,0,0,0,0,0,0,1
25/11/2015,2,0,0,0,0,0,0,2
01/12/2015,1,0,0,0,0,0,0,1
09/12/2015,2,0,0,0,0,0,0,2
10/12/2015,1,0,0,0,0,0,0,1
13/12/2015,1,0,0,0,0,0,0,1
16/12/2015,1,0,0,0,0,0,0,1
17/12/2015,1,0,0,0,0,0,0,1
19/12/2015,1,0,0,0,0,0,0,1
23/12/2015,1,0,0,0,0,0,0,1
29/12/2015,1,0,0,0,0,0,0,1
04/01/2016,1,0,0,0,0,0,0,1
10/01/2016,1,0,0,0,0,0,0,1
27/01/2016,1,0,0,0,0,0,0,1
28/01/2016,1,0,0,0,0,0,0,1
03/02/2016,1,0,0,0,0,0,0,1
05/02/2016,1,0,0,0,0,0,0,1
07/02/2016,1,0,0,0,0,0,0,1
13/02/2016,2,0,0,0,0,0,0,2
21/02/2016,1,0,0,0,0,0,0,1
25/02/2016,1,0,0,0,0,0,0,1
07/03/2016,1,0,0,0,0,0,0,1
09/03/2016,1,0,0,0,0,0,0,1
11/03/2016,2,0,0,0,0,0,0,2
12/03/2016,1,0,0,0,0,0,0,1
13/03/2016,1,0,0,0,0,0,0,1
14/03/2016,1,0,0,0,0,0,0,1
24/03/2016,1,0,0,0,0,0,0,1
01/04/2016,1,0,0,0,0,0,0,1
03/04/2016,1,0,0,0,0,0,0,1
05/04/2016,1,0,0,0,0,0,0,1
08/04/2016,1,0,0,0,0,0,0,1
17/04/2016,1,0,0,0,0,0,0,1
23/04/2016,1,0,0,0,0,0,0,1
24/04/2016,1,0,0,0,0,0,0,1
03/05/2016,1,0,0,0,0,0,0,1
04/05/2016,1,0,0,0,0,0,0,1
11/05/2016,1,0,0,0,0,0,0,1
18/05/2016,1,0,0,0,0,0,0,1
19/05/2016,1,0,0,0,0,0,0,1
20/05/2016,1,0,0,0,0,0,0,1
21/05/2016,1,0,0,0,0,0,0,1
29/05/2016,2,0,0,0,0,0,0,2
