Day,Total,1,2,3,4,5,6,2P
01/05/2015,22,10,2,1,4,1,0,4
02/05/2015,13,3,2,4,0,2,0,2
03/05/2015,13,5,2,3,1,0,0,2
04/05/2015,13,2,2,3,2,0,0,4
05/05/2015,16,7,2,2,2,0,0,3
06/05/2015,13,4,6,1,0,1,0,1
07/05/2015,8,3,2,1,1,0,0,1
08/05/2015,17,5,5,4,0,0,0,3
09/05/2015,16,8,2,2,1,2,0,1
10/05/2015,14,6,2,1,0,2,0,3
11/05/2015,17,7,3,3,0,0,0,4
12/05/2015,18,5,2,5,0,1,2,3
13/05/2015,20,5,10,2,1,0,0,2
14/05/2015,19,5,2,4,3,2,1,2
15/05/2015,19,3,7,2,2,2,0,3
16/05/2015,17,6,6,2,0,0,0,3
17/05/2015,13,3,6,0,0,1,0,3
18/05/2015,18,4,8,2,1,1,1,1
19/05/2015,13,4,6,1,0,0,0,2
20/05/2015,17,10,3,1,0,1,0,2
21/05/2015,16,6,5,1,1,1,1,1
22/05/2015,13,3,5,0,1,1,0,3
23/05/2015,14,5,4,3,0,0,0,2
24/05/2015,21,9,3,4,1,1,0,3
25/05/2015,13,4,2,2,1,0,0,4
26/05/2015,9,4,2,2,0,0,0,1
27/05/2015,16,9,2,2,1,0,0,2
28/05/2015,20,5,4,3,1,2,2,3
29/05/2015,21,6,5,4,3,1,0,2
30/05/2015,14,3,3,4,1,0,0,3
31/05/2015,14,2,7,2,0,0,0,3
01/06/2015,39,14,11,6,2,3,1,2
02/06/2015,29,9,4,11,2,0,0,3
03/06/2015,35,18,5,8,1,1,0,2
04/06/2015,38,18,9,7,1,0,1,2
05/06/2015,36,13,14,5,1,0,0,3
06/06/2015,47,17,18,8,1,0,0,3
07/06/2015,36,18,8,5,0,3,0,2
08/06/2015,33,20,6,5,1,0,0,1
09/06/2015,32,15,8,5,1,1,1,1
10/06/2015,42,14,13,6,3,0,2,4
11/06/2015,32,14,7,8,0,2,0,1
12/06/2015,38,17,13,2,1,1,1,3
13/06/2015,46,20,15,7,1,1,2,0
14/06/2015,48,25,11,8,0,2,0,2
15/06/2015,49,24,14,6,2,0,0,3
16/06/2015,43,22,11,4,2,1,0,3
17/06/2015,39,20,9,6,1,1,1,1
18/06/2015,34,16,7,6,2,1,1,1
19/06/2015,47,23,11,6,2,1,1,3
20/06/2015,52,22,16,9,1,1,1,2
21/06/2015,51,28,11,6,1,0,0,5
22/06/2015,39,16,16,4,2,1,0,0
23/06/2015,45,15,14,9,1,2,0,4
24/06/2015,44,21,12,10,0,1,0,0
25/06/2015,56,25,11,13,3,0,1,3
26/06/2015,43,21,14,5,0,2,0,1
27/06/2015,42,24,11,2,0,0,1,4
28/06/2015,43,16,11,10,1,0,1,4
29/06/2015,44,19,12,10,1,1,0,1
30/06/2015,43,18,16,6,1,0,0,2
01/07/2015,57,22,12,17,2,1,2,1
02/07/2015,54,25,20,4,0,2,1,2
03/07/2015,74,31,25,12,2,2,0,2
04/07/2015,72,31,23,11,3,2,0,2
05/07/2015,81,31,25,18,2,3,0,2
06/07/2015,62,25,22,13,1,0,0,1
07/07/2015,59,22,17,14,3,1,0,2
08/07/2015,66,25,25,13,1,0,0,2
09/07/2015,54,25,15,10,2,1,1,0
10/07/2015,76,33,30,7,3,1,2,0
11/07/2015,82,41,22,9,2,4,0,4
12/07/2015,74,35,20,15,1,0,1,2
13/07/2015,58,27,19,7,3,0,0,2
14/07/2015,56,29,14,6,4,2,0,1
15/07/2015,38,16,10,8,2,1,0,1
16/07/2015,48,19,17,10,2,0,0,0
17/07/2015,81,39,22,16,1,0,0,3
18/07/2015,69,25,25,14,2,1,0,2
19/07/2015,63,27,17,12,3,2,0,2
20/07/2015,57,24,18,9,1,2,1,2
21/07/2015,44,20,11,6,1,3,0,3
