Day,Total,1,2,3,4,5,6,2P
01/05/2015,25,9,4,4,5,1,0,2
02/05/2015,20,8,4,5,0,2,0,1
03/05/2015,20,8,5,4,2,0,0,1
04/05/2015,23,6,6,4,3,1,2,1
05/05/2015,17,8,4,3,1,0,0,1
06/05/2015,26,13,8,2,1,2,0,0
07/05/2015,18,6,6,1,3,0,1,1
08/05/2015,26,11,8,6,0,1,0,0
09/05/2015,26,10,8,2,3,2,0,1
10/05/2015,24,9,7,2,0,4,0,2
11/05/2015,25,13,6,3,2,0,0,1
12/05/2015,36,9,8,9,3,1,3,3
13/05/2015,33,11,12,3,5,1,0,1
14/05/2015,33,12,5,6,2,5,1,2
15/05/2015,30,8,13,2,3,2,0,2
16/05/2015,31,10,11,4,2,0,1,3
17/05/2015,32,11,10,4,2,2,0,3
18/05/2015,24,7,8,3,2,3,1,0
19/05/2015,24,6,9,4,2,1,0,2
20/05/2015,27,14,5,4,1,1,0,2
21/05/2015,33,16,6,4,3,1,1,2
22/05/2015,27,11,8,2,2,2,0,2
23/05/2015,24,10,7,5,1,0,0,1
24/05/2015,32,12,7,7,2,2,0,2
25/05/2015,30,11,7,6,3,0,0,3
26/05/2015,19,9,6,2,0,1,0,1
27/05/2015,24,11,8,3,1,0,0,1
28/05/2015,30,13,4,4,3,2,2,2
29/05/2015,31,9,10,6,5,1,0,0
30/05/2015,24,11,5,5,2,0,0,1
31/05/2015,28,7,11,4,1,2,1,2
01/06/2015,50,19,16,7,3,3,1,1
02/06/2015,50,18,13,15,3,1,0,0
03/06/2015,53,26,9,12,1,4,0,1
04/06/2015,65,29,16,13,2,3,2,0
05/06/2015,59,23,18,11,2,0,2,3
06/06/2015,75,26,36,11,1,1,0,0
07/06/2015,63,33,15,7,2,5,1,0
08/06/2015,58,31,11,9,4,0,2,1
09/06/2015,57,23,18,10,3,1,1,1
10/06/2015,73,31,25,9,4,0,2,2
11/06/2015,63,32,15,13,0,2,0,1
12/06/2015,66,32,19,9,1,1,2,2
13/06/2015,69,31,18,14,1,2,2,1
14/06/2015,75,36,24,12,0,2,1,0
15/06/2015,76,41,15,9,6,1,2,2
16/06/2015,82,38,21,13,1,6,1,2
17/06/2015,68,37,16,9,1,1,3,1
18/06/2015,61,28,16,10,3,2,2,0
19/06/2015,63,32,15,10,2,2,1,1
20/06/2015,87,40,27,15,1,1,2,1
21/06/2015,87,45,22,15,2,0,0,3
22/06/2015,66,30,22,8,4,2,0,0
23/06/2015,74,35,20,10,4,3,0,2
24/06/2015,79,33,27,17,1,1,0,0
25/06/2015,79,33,22,16,3,0,4,1
26/06/2015,68,33,19,10,3,2,0,1
27/06/2015,70,38,20,9,1,0,1,1
28/06/2015,65,25,19,14,3,1,1,2
29/06/2015,78,38,19,16,1,3,1,0
30/06/2015,70,34,24,9,1,1,0,1
01/07/2015,100,42,29,21,2,2,3,1
02/07/2015,89,42,34,8,1,2,2,0
03/07/2015,122,58,35,22,3,4,0,0
04/07/2015,128,58,38,24,3,3,0,2
05/07/2015,140,57,42,29,3,7,1,1
06/07/2015,103,37,38,22,2,3,0,1
07/07/2015,100,46,30,19,2,2,1,0
08/07/2015,108,48,34,22,3,1,0,0
09/07/2015,96,40,29,21,4,1,1,0
10/07/2015,116,51,43,14,3,2,3,0
11/07/2015,146,71,47,17,3,7,0,1
12/07/2015,133,62,34,31,3,0,1,2
13/07/2015,107,47,33,15,6,3,2,1
14/07/2015,97,40,24,19,7,5,2,0
15/07/2015,71,36,15,15,3,2,0,0
16/07/2015,91,43,23,19,3,3,0,0
17/07/2015,122,60,31,28,1,1,1,0
18/07/2015,107,51,32,18,4,1,0,1
19/07/2015,115,54,27,22,5,6,0,1
20/07/2015,99,45,25,22,3,3,0,1
21/07/2015,83,38,19,16,3,3,2,2
22/07/2015,78,44,15,13,3,2,0,1
23/07/2015,114,60,26,19,3,3,3,0
24/07/2015,121,56,31,23,4,3,3,1
25/07/2015,116,54,34,21,4,1,1,1
26/07/2015,124,53,37,27,3,2,1,1
27/07/2015,91,44,25,18,3,1,0,0
28/07/2015,87,45,22,17,2,0,1,0
29/07/2015,92,41,26,14,4,3,1,3
30/07/2015,98,42,28,19,3,3,3,0
31/07/2015,132,61,45,17,3,3,1,2
01/08/2015,105,48,30,19,4,3,1,0
02/08/2015,95,51,21,16,5,1,1,0
03/08/2015,93,44,25,13,4,6,1,0
04/08/2015,89,41,23,18,2,2,0,3
05/08/2015,79,35,18,20,4,0,1,1
06/08/2015,72,36,14,15,3,1,1,2
07/08/2015,112,47,35,19,5,4,1,1
08/08/2015,85,51,17,12,0,3,1,1
09/08/2015,103,55,16,22,5,4,1,0
10/08/2015,89,39,24,21,3,1,0,1
11/08/2015,87,42,19,15,3,3,2,3
12/08/2015,83,42,18,14,5,2,1,1
13/08/2015,59,28,14,11,3,2,0,1
14/08/2015,90,41,31,16,1,0,1,0
15/08/2015,89,47,16,21,4,1,0,0
16/08/2015,89,42,22,19,0,4,0,2
17/08/2015,73,37,15,11,4,4,0,2
18/08/2015,82,40,22,11,7,2,0,0
19/08/2015,78,41,15,13,8,1,0,0
20/08/2015,70,35,15,16,3,0,1,0
21/08/2015,91,39,23,16,3,3,4,3
22/08/2015,84,36,25,16,4,1,1,1
23/08/2015,91,41,22,21,4,3,0,0
24/08/2015,86,39,24,18,3,2,0,0
25/08/2015,80,40,26,9,2,1,0,2
26/08/2015,85,39,21,16,4,5,0,0
27/08/2015,78,34,29,10,2,1,1,1
28/08/2015,88,40,25,17,3,2,0,1
29/08/2015,81,34,24,16,4,1,1,1
30/08/2015,95,47,24,17,3,2,0,2
31/08/2015,80,36,21,13,5,3,1,1
01/09/2015,80,43,18,14,2,2,1,0
02/09/2015,58,32,10,10,3,2,0,1
03/09/2015,60,28,13,13,4,1,1,0
04/09/2015,79,32,25,13,2,2,3,2
05/09/2015,71,32,20,10,5,1,2,1
06/09/2015,67,30,14,13,5,2,1,2
07/09/2015,53,19,18,9,3,2,1,1
08/09/2015,50,17,18,10,3,2,0,0
09/09/2015,68,28,17,14,1,4,3,1
10/09/2015,54,24,18,7,2,2,0,1
11/09/2015,68,28,23,10,0,2,4,1
12/09/2015,69,32,21,10,3,0,2,1
13/09/2015,62,30,17,7,5,1,1,1
14/09/2015,62,26,19,14,0,1,1,1
15/09/2015,73,35,19,13,2,4,0,0
16/09/2015,57,30,14,9,2,0,1,1
17/09/2015,69,32,17,14,1,3,1,1
18/09/2015,53,23,10,17,0,2,1,0
19/09/2015,71,22,26,16,3,3,0,1
20/09/2015,76,23,25,15,3,5,2,3
21/09/2015,58,22,13,12,5,5,0,1
22/09/2015,56,30,7,15,2,1,0,1
23/09/2015,66,29,15,15,4,2,1,0
24/09/2015,62,22,24,9,5,2,0,0
25/09/2015,69,23,25,13,4,0,3,1
26/09/2015,64,26,20,14,3,1,0,0
27/09/2015,54,26,12,11,2,1,1,1
28/09/2015,53,19,21,7,1,2,2,1
29/09/2015,62,32,18,6,4,0,1,1
30/09/2015,62,26,18,12,2,2,2,0
01/10/2015,35,17,9,6,2,0,1,0
02/10/2015,25,10,9,4,0,0,1,1
03/10/2015,36,15,8,5,2,3,2,1
04/10/2015,26,12,4,5,1,3,1,0
05/10/2015,18,7,8,1,1,0,0,1
06/10/2015,20,6,7,5,1,0,0,1
07/10/2015,22,8,9,2,2,1,0,0
08/10/2015,22,5,5,4,3,1,2,2
09/10/2015,21,8,5,2,4,0,1,1
10/10/2015,19,7,2,10,0,0,0,0
11/10/2015,19,3,6,5,1,2,0,2
12/10/2015,15,5,6,0,2,1,0,1
13/10/2015,21,6,9,3,0,0,1,2
14/10/2015,14,3,2,4,2,0,1,2
